genome_id,ceftriaxone,ciprofloxacin,meropenem
562.114781,,,Susceptible
562.114787,Susceptible,Susceptible,
562.11479,,Resistant,
562.114794,Susceptible,,
562.114795,Susceptible,,
562.114797,Susceptible,,
562.114808,Resistant,,
562.114822,Resistant,,
562.114829,Susceptible,,
562.11483,,,Resistant
562.114834,,,Susceptible
562.114839,Resistant,,
562.11484,,Susceptible,
562.114842,Resistant,,
562.114847,,,Susceptible
562.114849,,Susceptible,
562.114856,,,Susceptible
562.114859,,,Susceptible
562.114861,,Susceptible,
562.11487,,,Resistant
562.114878,,Resistant,
562.114885,,,Susceptible
562.114897,,,Susceptible
562.114899,Resistant,,
562.114902,Resistant,,
562.11492,Resistant,,
562.114928,,Resistant,
562.114943,Resistant,,
562.114951,,Susceptible,Susceptible
562.114954,,Resistant,
562.114972,,Susceptible,
562.114986,,Susceptible,
562.11499,Susceptible,,
562.115001,,,Resistant
562.115016,Susceptible,,
562.115017,,,Susceptible
562.115026,,,Resistant
562.115033,Resistant,,
562.115036,Resistant,,
562.115042,,,Susceptible
562.115049,,,Susceptible
562.115051,Resistant,,
562.115068,,Susceptible,Susceptible
562.11508,,,Susceptible
562.115102,,Resistant,
562.115105,,Susceptible,
562.115106,,Resistant,
562.11511,,,Susceptible
562.115111,,Susceptible,
562.115112,,Susceptible,
562.115121,,,Susceptible
562.115128,,Susceptible,
562.11513,,Susceptible,
562.11514,,Susceptible,
562.115143,,Susceptible,
562.115144,Susceptible,,
562.115145,,,Resistant
562.115157,,,Resistant
562.11517,,,Susceptible
562.115189,,Resistant,
562.11519,,,Susceptible
562.115203,,,Susceptible
562.115206,,,Resistant
562.115217,,,Resistant
562.11522,,,Resistant
562.11523,,,Susceptible
562.115233,,Susceptible,
562.115236,Resistant,,
562.115238,,Resistant,
562.11525,,Susceptible,
562.115251,Susceptible,,
562.115253,,Susceptible,
562.11526,Resistant,,Susceptible
562.115268,Susceptible,,
562.115273,,Susceptible,
562.115279,Susceptible,,
562.11529,,Resistant,
562.11543,,,Susceptible
562.115431,Susceptible,,Susceptible
562.115432,Susceptible,,
562.115437,Susceptible,,
562.115438,Susceptible,Susceptible,
562.115469,,Resistant,
562.115487,Susceptible,,
562.11552,,Susceptible,
562.11553,Susceptible,,
562.115536,,Susceptible,
562.115898,,Resistant,
562.115907,,,Susceptible
562.115908,Resistant,,
562.115926,,Susceptible,
562.121726,,,Susceptible
562.121736,,,Susceptible
562.12174,,,Susceptible
562.121757,,Susceptible,
562.121762,Susceptible,,
562.121765,,Susceptible,
562.12177,,,Susceptible
562.121797,Susceptible,,
562.121802,,,Susceptible
562.121821,Susceptible,,
562.121822,,Resistant,
562.12183,Resistant,,
562.121845,,Resistant,
562.121851,,Resistant,
562.121856,,Resistant,
562.121857,,Susceptible,
562.121861,,Resistant,
562.121864,,,Resistant
562.121865,Resistant,,
562.121866,,,Resistant
562.121871,,Resistant,
562.121897,,,Resistant
562.121914,Susceptible,,
562.121917,,Resistant,
562.121919,Resistant,,
562.121927,Susceptible,,
562.12193,,Susceptible,
562.121936,Resistant,,
562.12194,,,Susceptible
562.121947,,Resistant,
562.121963,,,Susceptible
562.121974,,,Susceptible
562.121977,,,Susceptible
562.121999,,Resistant,
562.122006,,,Resistant
562.122009,Resistant,,
562.122015,Resistant,,
562.122016,,Susceptible,
562.122021,Resistant,,Susceptible
562.122028,,,Susceptible
562.122071,,Susceptible,
562.122072,Susceptible,Susceptible,
562.122078,,Susceptible,
562.122098,,Susceptible,
562.122099,,Resistant,
562.122106,,,Susceptible
562.122107,,Susceptible,
562.12212,,Susceptible,
562.122123,,Susceptible,
562.122124,,Resistant,
562.122125,,,Susceptible
562.122138,,,Susceptible
562.122141,,,Susceptible
562.122143,Susceptible,,
562.122173,Resistant,,
562.122175,,,Susceptible
562.122178,Resistant,,
562.122215,,Susceptible,
562.122229,,Susceptible,
562.122238,,,Susceptible
562.122256,,,Susceptible
562.12226,,Resistant,
562.122349,,,Susceptible
562.122361,Susceptible,,
562.122363,,,Susceptible
562.122375,Susceptible,,
562.122376,,Susceptible,
562.122377,,Susceptible,
562.122383,,,Susceptible
562.122389,Susceptible,,
562.12239,,Susceptible,
562.122392,,,Susceptible
562.1224,,,Susceptible
562.122406,,,Susceptible
562.122407,Susceptible,,
562.122413,,Susceptible,
562.122904,,Susceptible,
562.122908,Susceptible,,
562.122913,,,Susceptible
562.122984,,,Susceptible
562.122989,,,Susceptible
562.122997,,Susceptible,
562.123001,,Susceptible,
562.123009,Susceptible,,Susceptible
562.12301,Susceptible,,
562.123014,,,Susceptible
562.123029,,,Susceptible
562.12304,,Susceptible,
562.123071,Susceptible,,
562.123956,Resistant,,
562.123974,,,Susceptible
562.123979,Resistant,,
562.123988,,,Resistant
562.12399,,,Resistant
562.123991,,,Susceptible
562.124001,,Susceptible,
562.124003,,,Resistant
562.124016,Susceptible,,
562.12402,Resistant,,
562.12403,,,Susceptible
562.124036,,,Resistant
562.124051,,Resistant,
562.124064,,Resistant,
562.124069,,Resistant,
562.124076,,,Resistant
562.12408,Resistant,,
562.124083,,Resistant,
562.124103,,Resistant,
562.124121,,Susceptible,
562.124129,,Resistant,
562.124143,,,Resistant
562.124163,Resistant,,
562.124694,,Susceptible,
562.124702,Resistant,,
562.124703,,,Susceptible
562.12471,,Susceptible,
562.124721,Resistant,,
562.124725,Resistant,,
562.124755,,,Resistant
562.124784,Resistant,,
562.124789,,,Susceptible
562.124795,,,Susceptible
562.124813,Resistant,,
562.124819,,Susceptible,
562.124825,,,Susceptible
562.124832,Susceptible,,
562.124835,,,Susceptible
562.124836,,Susceptible,Susceptible
562.124847,,,Susceptible
562.12485,Susceptible,,
562.124856,,,Resistant
562.124857,,,Susceptible
562.124866,,Susceptible,
562.124878,,Susceptible,
562.12488,,Susceptible,
562.124883,,,Susceptible
562.124899,Susceptible,,
562.124917,,,Susceptible
562.12492,Susceptible,,
562.124924,,Susceptible,
562.124931,Susceptible,,
562.124935,,,Susceptible
562.124937,,Susceptible,
562.124953,,Susceptible,
562.124974,,,Susceptible
562.125008,,Resistant,
562.125013,,,Susceptible
562.125022,,,Susceptible
562.125982,Susceptible,,
562.125998,Resistant,,
562.126003,,Resistant,
562.126004,Resistant,,
562.126013,Resistant,,Resistant
562.12603,Susceptible,,
562.126033,,Susceptible,
562.126038,,,Susceptible
562.12605,,Susceptible,
562.12606,,Resistant,
562.126067,,,Susceptible
562.126068,Susceptible,,
562.126077,,Susceptible,
562.126084,,Resistant,
562.126109,Susceptible,,
562.126121,Susceptible,Resistant,
562.126129,Resistant,,
562.126136,,,Susceptible
562.126141,,Susceptible,
562.126144,Resistant,,
562.126146,,Resistant,
562.126147,Resistant,,
562.126148,Resistant,,
562.126149,,Resistant,
562.126155,,Resistant,
562.126172,,Resistant,
562.12618,,Resistant,
562.126185,,Susceptible,
562.126187,,,Susceptible
562.126197,,,Susceptible
562.126202,Susceptible,,
562.126218,Resistant,,
562.12622,,Resistant,
562.126223,Resistant,,
562.126228,,Resistant,
562.126244,,,Resistant
562.12625,,,Susceptible
562.126252,,,Resistant
562.126258,Susceptible,,
562.126262,,Susceptible,
562.12627,Susceptible,,
